Timestamp(ms),Current(uA)
0,3.499
1,3.359
2,3.293
3,3.279
4,3.263
5,3.271
6,3.271
7,3.269
8,3.275
9,3.271
10,3.264
11,3.268
12,3.266
13,3.268
14,3.276
15,3.283
16,3.264
17,3.275
18,3.269
19,3.272
20,3.271
21,3.278
22,3.285
23,3.280
24,3.290
25,3.288
26,3.279
27,3.273
28,3.277
29,3.280
30,3.274
31,3.279
32,3.279
33,3.294
34,3.291
35,3.292
36,3.296
37,3.286
38,3.284
39,3.289
40,3.299
41,3.299
42,3.308
43,3.296
44,3.303
45,3.305
46,3.296
47,3.308
48,3.311
49,3.303
50,3.296
51,3.302
52,3.308
53,3.301
54,3.301
55,3.303
56,3.296
57,3.297
58,3.316
59,3.315
60,3.303
61,3.301
62,3.298
63,3.302
64,3.290
65,3.290
66,3.292
67,3.291
68,3.303
69,3.299
70,3.307
71,3.297
72,3.302
73,3.299
74,3.298
75,3.304
76,3.310
77,3.308
78,3.303
79,3.301
80,3.298
81,3.301
82,3.312
83,3.296
84,3.301
85,3.314
86,3.308
87,3.294
88,3.303
89,3.311
90,3.314
91,3.305
92,3.309
93,3.312
94,3.310
95,3.313
96,3.305
97,3.316
98,3.316
99,3.321
100,3.315
101,3.320
102,3.317
103,3.314
104,3.315
105,3.316
106,3.304
107,3.310
108,3.305
109,3.312
110,3.322
111,3.326
112,3.325
113,3.317
114,3.316
115,3.320
116,3.329
117,3.322
118,3.315
119,3.320
120,3.324
121,3.328
122,3.331
123,3.319
124,3.333
125,3.313
126,3.327
127,3.320
128,3.331
129,3.330
130,3.318
131,3.323
132,3.335
133,3.313
134,3.155
135,3.101
136,3.073
137,3.073
138,3.080
139,3.083
140,3.085
141,3.082
142,3.079
143,3.076
144,3.083
145,3.077
146,3.086
147,3.083
148,3.093
149,3.085
150,3.095
151,3.111
152,3.114
153,3.106
154,3.111
155,3.107
156,3.102
157,3.097
158,3.108
159,3.120
160,3.117
161,3.115
162,3.118
163,3.116
164,3.120
165,3.120
166,3.119
167,3.118
168,3.114
169,3.109
170,3.121
171,3.109
