Id,Designator,Package,Quantity,Designation
1,BT1,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,1,3.7v LiPo
2,"C17,C8,C14,C13",C_0603,4,10uF 10VDC 
3,"C2,C4",CP_EIA-3528-15_AVX-H,2,330uF
4,"C5,C12,C11,C1,C3",C_0603,5,100nF 10VDC
5,C6,C_1210_3225Metric,1,150uF 10VDC 
6,C7,C_0603,1,22uF 10VDC 
7,D1,LED_0603_1608Metric,1,RED
8,D2,LED_0603_1608Metric,1,GREEN
9,E1,XDCR_ANT-915-USP410,1,ANT-915-USP410
10,L2,IND_LPS4012-103MRB,1,10uH 0.55A
11,L3,L_0603,1,10uH
12,Q1,SOT-23,,PJA3407
13,Q2,SOT-323_SC-70,1,DMG1012UW
14,R1,R_0603,1,4.7M
15,R11,R_0603,1,100K
16,"R12,R5,R13",R_0603,3,1K
17,R14,R_0603,1,400K
18,R16,R_0603,2,0
19,R4,R_0603,1,10M
20,"R7,R2,R3,R6",R_0603,4,10K
21,"R9,R8,R15,R10",R_0603,4,1M
22,"SC4,SC1,SC3,SC2",KXOB25-05X3F,4,KXOB25-05X3F
23,SW3,SW_SPST_TL3342,1,RESET
24,SW4,SW_SPST_TL3342,1,BOOT
25,U1,BME688,1,BME688
26,U2,RAK3172,1,RAK3172
27,U3,QFN-28-1EP_5x5mm_P0.5mm_EP3.35x3.35mm,1,AEM10941-QFN
28,U4,SOT-23-5,1,XC6215
