Designator,Mid X,Mid Y,Rotation,Layer
TP1,162.687,-88.519,180,bottom
TP2,162.687,-103.0986,-90,bottom
TP3,162.687,-92.6846,-90,bottom
TP4,162.687,-90.6018,-90,bottom
TP5,162.687,-101.0158,90,bottom
TP6,162.687,-98.933,-90,bottom
TP7,162.687,-96.8502,-90,bottom
TP8,162.687,-94.7674,-90,bottom
TP9,162.687,-105.1814,-90,bottom
BT1,157.65,-117,-90,top
C1,158.5462,-128.5974,0,top
C2,158.5462,-132.2974,0,top
C3,143.6748,-129.8956,180,top
C4,143.8936,-133.096,0,top
C5,142.014,-133.096,180,top
C6,140.7668,-130.871,90,top
C7,149.9616,-132.4,-90,top
C8,152.7404,-128.0058,180,top
C9,149.9616,-129.1714,-90,top
D1,137.7125,-139.6,0,top
F1,143.4846,-131.6228,0,top
FB1,143.3321,-134.3406,180,top
J1,146.556,-138.6,0,top
J2,138.9442,-87.8,-90,top
J3,138.9442,-101.7,-90,top
J4,138.9442,-108,-90,top
Q1,158.5366,-124.9375,90,top
R1,130.875,-129.85,-90,top
R2,133.1194,-129.85,-90,top
R3,135.3,-129.85,-90,top
R4,137.5,-129.85,-90,top
R5,145.3388,-134.1608,90,top
R6,149.0472,-134.62,0,top
R7,140.4,-135.5,-90,top
R8,152.4884,-133.9494,180,top
SW1,134.1628,-123.1408,0,top
SW2,151.45,-67.9,180,top
SW3,141.55,-67.9,180,top
U1,143.0981,-127.3962,-90,top
U2,146.9685,-132.7776,-90,top
U3,152.7048,-131.1101,90,top
U4,147.066,-127.2,0,top
